# Market Movers Scan List,,
# Add any stock tickers below — one per line or comma-separated.,,
# These are merged with the built-in list automatically.,,
# Lines starting with # are ignored.,,
#,,
# Example:,,
# AAPL,,
# MSFT, TSLA, NVDA
#,,
# Your custom stocks:,,
WLDS,,
KALA,,
SCNX,,
DOMO,,
MIMI,,
ASNS,,
WORX,,
NXPL,,
CYN,,
TSSI,,
TMDE,,
RDGT,,
AUNA,,
SGN,,
CVGI,,
SSII,,
ACXP,,
JOB,,
SXTP,,
SHMD,,
IPST,,
SERV,,
RFIL,,
SI,,
ACTG,,
DSY,,
POLA,,
FWRG,,
PIII,,
BLDP,,
NBIS,,
FNGR,,
ATOM,,
ORIS,,
INR,,
NATR,,
CTXR,,
LYRA,,
ORCL,,
APYX,,
SDOT,,
RAY,,
FTEL,,
FRGT,,
GGR,,
TH,,
BCAB,,
RCON,,
VACH,,
AREB,,
KITT,,
KOS,,
SKYE,,
MI,,
EJH,,
INKT,,
TBMC,,
OIO,,
FCUV,,
OPTT,,
ELPW,,
AVAV,,
BRTX,,
EZRA,,
VTAK,,
HMY,,
MRNO,,
BWLP,,
CLIR,,
CDTG,,
GRPN,,
NXGL,,
LNKS,,
JDZG,,
CNET,,
IBO,,
BIYA,,
HCAI,,
WFF,,
BNAI,,
CIIT,,
KXIN,,
CAPS,,
SUIG,,
LGVN,,
ZENV,,
BYAH,,
CELU,,
NA,,
WIT,,
TACT,,
MREO,,
XPOF,,
TOPS,,
PULM,,
ACCL,,
BTOC,,
OBAI,,
CAST,,
NDRA,,
